score,unit,stratum,test_event,role,auc,ci_lo,ci_hi,n_units,n_pos_cells,n_clusters,included,reason,y,se,run_id
relelev_neg,cell_gate,ALL,2012,development,0.5869208605003859,0.5067,0.6899,206,206,14,True,,0.3512507947986093,0.19715929356346132,m2_20260926T165115Z_1ffdde7
relelev_neg,cluster_gate,ALL,2012,development,0.6834,0.595,0.773,14,206,14,True,,0.7694411922342796,0.21445666841276317,m2_20260926T165115Z_1ffdde7
twi,cell_gate,ALL,2012,development,0.8222134667323953,0.7443,0.8764,206,206,14,True,,1.5314164739214302,0.22712987908242915,m2_20260926T165115Z_1ffdde7
twi,cluster_gate,ALL,2012,development,0.7233,0.6193,0.8132,14,206,14,True,,0.9608901870623552,0.2511169641810756,m2_20260926T165115Z_1ffdde7
impervious,cell_gate,ALL,2012,development,0.8079026200448238,0.681,0.9297,206,206,14,True,,1.4364391007931667,0.4652429752959204,m2_20260926T165115Z_1ffdde7
impervious,cluster_gate,ALL,2012,development,0.7954,0.7052,0.8647,14,206,14,True,,1.357788279256064,0.2506943516137416,m2_20260926T165115Z_1ffdde7
hand_neg,cell_gate,ALL,2012,development,0.8578793017207786,0.8315,0.8704,206,206,14,True,,1.7977867311593718,0.07862505274944229,m2_20260926T165115Z_1ffdde7
hand_neg,cluster_gate,ALL,2012,development,0.8294,0.7918,0.8629,14,206,14,True,,1.5813809127547023,0.12851729634538508,m2_20260926T165115Z_1ffdde7
hand_acc_neg,cell_gate,ALL,2012,development,0.877414821622568,0.8557,0.8887,206,206,14,True,,1.968173759206858,0.07589554786859054,m2_20260926T165115Z_1ffdde7
hand_acc_neg,cluster_gate,ALL,2012,development,0.8327,0.7985,0.8649,14,206,14,True,,1.6048848252489953,0.12236272346365186,m2_20260926T165115Z_1ffdde7
L1,cell_gate,ALL,2012,development,0.7910914447573926,0.6387,0.9438,206,206,14,True,,1.331516946111629,0.5743144562186939,m2_20260926T165115Z_1ffdde7
L1,cluster_gate,ALL,2012,development,0.8179,0.7562,0.8758,14,206,14,True,,1.502184093007366,0.2095158168559384,m2_20260926T165115Z_1ffdde7
z_sensitivity,cell_gate,ALL,2012,development,0.8739552913099088,0.7895,0.953,206,206,14,True,,1.9363925453518327,0.4305061558993139,m2_20260926T165115Z_1ffdde7
z_sensitivity,cluster_gate,ALL,2012,development,0.7932,0.6955,0.8788,14,206,14,True,,1.344323254011367,0.2946879003322034,m2_20260926T165115Z_1ffdde7
rf_F1_wf,cell_gate,ALL,2012,development,0.7802727624157164,0.6516,0.8201,206,206,14,True,,1.2672566059932464,0.22728619463520777,m2_20260926T165115Z_1ffdde7
rf_F1_wf,cluster_gate,ALL,2012,development,0.6855,0.6108,0.7615,14,206,14,True,,0.7791644228618739,0.18118818625661287,m2_20260926T165115Z_1ffdde7
logit_F1_wf,cell_gate,ALL,2012,development,0.523354218253832,0.2469,0.7895,206,206,14,True,,0.09348489726192954,0.621727956368891,m2_20260926T165115Z_1ffdde7
logit_F1_wf,cluster_gate,ALL,2012,development,0.4763,0.3321,0.6236,14,206,14,True,,-0.09487109347862732,0.3070360150275226,m2_20260926T165115Z_1ffdde7
slope_neg,object,ALL,2012,development,0.7753672623638705,0.7163622424416699,0.8294166719230898,30,206,14,True,,1.2388700126096643,0.16709763728909247,m2_20260926T165115Z_1ffdde7
relelev_neg,object,ALL,2012,development,0.6645513552765874,0.605124048825754,0.7207723002771965,30,206,14,True,,0.6836432854291239,0.13302129402503873,m2_20260926T165115Z_1ffdde7
twi,object,ALL,2012,development,0.7367887753890062,0.6627901427959428,0.799187178242935,30,206,14,True,,1.0293444053137681,0.17996988598197006,m2_20260926T165115Z_1ffdde7
impervious,object,ALL,2012,development,0.7986423115573349,0.738866992010808,0.8505194989677419,30,206,14,True,,1.3778303043544535,0.17821586334776282,m2_20260926T165115Z_1ffdde7
hand_neg,object,ALL,2012,development,0.8436921599814527,0.8157644600653589,0.8680767774178072,30,206,14,True,,1.6859602924669725,0.10106038854644124,m2_20260926T165115Z_1ffdde7
hand_acc_neg,object,ALL,2012,development,0.8508890754414236,0.821644037300128,0.8753520396841534,30,206,14,True,,1.7415912848481419,0.10755472562139136,m2_20260926T165115Z_1ffdde7
L1,object,ALL,2012,development,0.803161166087212,0.75512221408188,0.8480790189056471,30,206,14,True,,1.4061701068292052,0.15140404067303043,m2_20260926T165115Z_1ffdde7
z_sensitivity,object,ALL,2012,development,0.8078426543829131,0.7489569250134269,0.8586767804372076,30,206,14,True,,1.436052760046796,0.18145385432662053,m2_20260926T165115Z_1ffdde7
rf_F1_wf,object,ALL,2012,development,0.697930200561218,0.6369362334778746,0.7535203145185495,30,206,14,True,,0.8374609839268403,0.14168253654257837,m2_20260926T165115Z_1ffdde7
