score,unit,stratum,storm,metric,value,ci_lo,ci_hi,n_units,test_event,role,year,n_polygons,train_events,nested_status,run_id
slope_neg,object,URBAN,ALL,observed-label_auc,0.3613016355792806,0.22359059309146206,0.5073019149002204,7,2006,development,2006,19,[],학습 불가,m3_20260926T164916Z_f383cb3
slope_neg,cell_gate,AGRI,ALL,observed-label_auc,0.685614849187935,0.4767,0.7738,89,2006,development,2006,19,[],학습 불가,m3_20260926T164916Z_f383cb3
slope_neg,cluster_gate,AGRI,ALL,observed-label_auc,0.6467,0.4767,0.7738,3,2006,development,2006,19,[],학습 불가,m3_20260926T164916Z_f383cb3
slope_neg,cell_gate,AGRI,ALL,capture_0.2,0.3258,,,89,2006,development,2006,19,[],학습 불가,m3_20260926T164916Z_f383cb3
slope_neg,object,AGRI,ALL,capture_0.2,0.19484796536717117,,,19,2006,development,2006,19,[],학습 불가,m3_20260926T164916Z_f383cb3
slope_neg,object,AGRI,ALL,observed-label_auc,0.6267469389865379,0.536108040771584,0.7206979637663911,19,2006,development,2006,19,[],학습 불가,m3_20260926T164916Z_f383cb3
slope_neg,cell_gate,UNIVERSE,ALL,observed-label_auc,0.5769230769230769,0.4847,0.7249,10,2006,development,2006,19,[],학습 불가,m3_20260926T164916Z_f383cb3
slope_neg,cluster_gate,UNIVERSE,ALL,observed-label_auc,0.5777,0.4863,0.7134,5,2006,development,2006,19,[],학습 불가,m3_20260926T164916Z_f383cb3
slope_neg,cell_gate,UNIVERSE,ALL,capture_0.2,0.2,,,10,2006,development,2006,19,[],학습 불가,m3_20260926T164916Z_f383cb3
slope_neg,object,UNIVERSE,ALL,capture_0.2,0.0908978263911525,,,11,2006,development,2006,19,[],학습 불가,m3_20260926T164916Z_f383cb3
slope_neg,object,UNIVERSE,ALL,observed-label_auc,0.5839769669677404,0.5240811144840446,0.6599196565209248,11,2006,development,2006,19,[],학습 불가,m3_20260926T164916Z_f383cb3
slope_neg,cell_gate,ALL,ALL,observed-label_auc,0.8717151957228564,0.7418,0.9193,206,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
slope_neg,cluster_gate,ALL,ALL,observed-label_auc,0.722,0.6254,0.8105,14,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
slope_neg,cell_gate,ALL,ALL,capture_0.2,0.801,,,206,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
slope_neg,object,ALL,ALL,capture_0.2,0.46090645425928456,,,30,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
rf_F1_wf,cell_gate,ALL,ALL,observed-label_auc,0.7802727624157164,0.6516,0.8201,206,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
rf_F1_wf,cluster_gate,ALL,ALL,observed-label_auc,0.6855,0.6108,0.7615,14,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
rf_F1_wf,cell_gate,ALL,ALL,capture_0.2,0.6068,,,206,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
rf_F1_wf,object,ALL,ALL,capture_0.2,0.3539044767420271,,,30,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
slope_neg,object,ALL,ALL,observed-label_auc,0.7753672623638705,0.7163622424416699,0.8294166719230898,30,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
rf_F1_wf,object,ALL,ALL,observed-label_auc,0.697930200561218,0.6369362334778746,0.7535203145185495,30,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
slope_neg,cell_gate,FLAT,ALL,observed-label_auc,0.6800229165789977,0.451,0.7957,187,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
slope_neg,cluster_gate,FLAT,ALL,observed-label_auc,0.5007,0.3443,0.6677,10,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
slope_neg,cell_gate,FLAT,ALL,capture_0.2,0.4064,,,187,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
slope_neg,object,FLAT,ALL,capture_0.2,0.2621751000242639,,,23,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
rf_F1_wf,cell_gate,FLAT,ALL,observed-label_auc,0.46014012778085095,0.2921,0.5566,187,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
rf_F1_wf,cluster_gate,FLAT,ALL,observed-label_auc,0.3818,0.2199,0.5503,10,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
rf_F1_wf,cell_gate,FLAT,ALL,capture_0.2,0.0963,,,187,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
rf_F1_wf,object,FLAT,ALL,capture_0.2,0.11871338342992975,,,23,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
slope_neg,object,FLAT,ALL,observed-label_auc,0.5360798765691385,0.41141335810922197,0.6423171049723052,23,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
rf_F1_wf,object,FLAT,ALL,observed-label_auc,0.3949921315911424,0.2965060003246751,0.5030798149690167,23,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
