verdict,rule,size_m,config_class,other,diff_ref,diff,material_reversal
V2,f01,200,both,twi,-0.04935528729476246,-0.08507279076379559,False
V2,f01,200,both,impervious,-0.016811175287431368,-0.06701039375330042,False
V2,f01,200,both,hand_neg,-0.07073425056127736,-0.09436206511435152,False
V2,f01,200,both,hand_acc_neg,-0.08632337686517555,-0.10902289780015129,False
V2,f01,200,both,z_sensitivity,-0.082863846552516,-0.07611418478770515,False
V2,f01,200,both,rf_F1_wf,-0.06348447564061732,-0.09025881572180094,False
V2,f01,200,both,logit_F1_wf,-0.05483917335882804,-0.07953072790039317,False
V1,f01,500,both,slope_neg,-0.48602921064533106,-0.3809683336669784,False
V1,f01,500,both,relelev_neg,-0.02658659385314549,-0.036387071997908194,False
V1,f01,500,both,twi,-0.4549179144959405,-0.38743458171106887,False
V1,f01,500,both,impervious,0.007884360784997269,-0.08368536305362967,False
V1,f01,500,both,hand_neg,-0.48604053865047775,-0.41020688725380045,False
V1,f01,500,both,hand_acc_neg,-0.4848484151615086,-0.4003190737464814,False
V1,f01,500,both,z_sensitivity,-0.2991048182339064,-0.26625294663174975,False
V1,f01,500,both,rf_F1_wf,-0.4075544816095638,-0.3343819325001736,False
V1,f01,500,both,logit_F1_wf,-0.41059158473372864,-0.3332890742775901,False
V2,f01,500,both,slope_neg,-0.08062375096546393,-0.06321592337616688,False
V2,f01,500,both,relelev_neg,0.24240681919101803,0.1861197719294131,False
V2,f01,500,both,twi,-0.04935528729476246,-0.09938362340569173,False
V2,f01,500,both,impervious,-0.016811175287431368,-0.07852386886292118,False
V2,f01,500,both,hand_neg,-0.07073425056127736,-0.04631365988447378,False
V2,f01,500,both,hand_acc_neg,-0.08632337686517555,-0.044237740548768056,False
