rule,size_m,score,metric,role_group,median,n_events
center,100,relelev_neg,cell_auc,all,0.5202148535404467,7
center,100,relelev_neg,cell_auc,development,0.5338027786836947,6
center,100,relelev_neg,cell_auc,holdout,0.44443881657627704,1
center,100,relelev_neg,object_auc,all,0.5903595700589259,9
center,100,relelev_neg,object_auc,development,0.5777108419909124,6
center,100,relelev_neg,object_auc,holdout,0.6073803433639534,3
center,100,rf_F1_wf,capture_0.2,all,0.8421516754850088,6
center,100,rf_F1_wf,capture_0.2,development,0.8571428571428571,5
center,100,rf_F1_wf,capture_0.2,holdout,0.7940234791889007,1
center,100,rf_F1_wf,cell_auc,all,0.8692699771405786,6
center,100,rf_F1_wf,cell_auc,development,0.8919551065025647,5
center,100,rf_F1_wf,cell_auc,holdout,0.845974444901697,1
center,100,rf_F1_wf,object_auc,all,0.8582902149930411,8
center,100,rf_F1_wf,object_auc,development,0.8559792627169518,5
center,100,rf_F1_wf,object_auc,holdout,0.8606011672691304,3
center,100,slope_neg,capture_0.2,all,0.8831168831168831,7
center,100,slope_neg,capture_0.2,development,0.8672341172341171,6
center,100,slope_neg,capture_0.2,holdout,0.9402347918890075,1
center,100,slope_neg,cell_auc,all,0.9050811647362501,7
center,100,slope_neg,cell_auc,development,0.9010630513767606,6
center,100,slope_neg,cell_auc,holdout,0.9379375180794667,1
center,100,slope_neg,object_auc,all,0.8516470605020992,9
center,100,slope_neg,object_auc,development,0.8673775317541229,6
center,100,slope_neg,object_auc,holdout,0.81894334574124,3
center,100,twi,capture_0.2,all,0.8055555555555556,7
center,100,twi,capture_0.2,development,0.7705463728191001,6
center,100,twi,capture_0.2,holdout,0.9210245464247598,1
center,100,twi,cell_auc,all,0.878873685294035,7
center,100,twi,cell_auc,development,0.8638913736211427,6
center,100,twi,cell_auc,holdout,0.9038526163947165,1
center,100,twi,object_auc,all,0.8165237912359887,9
center,100,twi,object_auc,development,0.8181195333295782,6
center,100,twi,object_auc,holdout,0.8122472548540232,3
center,100,z_sensitivity,capture_0.2,all,0.7037037037037037,7
center,100,z_sensitivity,capture_0.2,development,0.7268518518518519,6
center,100,z_sensitivity,capture_0.2,holdout,0.16862326574172892,1
center,100,z_sensitivity,cell_auc,all,0.8388128255802195,7
center,100,z_sensitivity,cell_auc,development,0.8607271337263227,6
center,100,z_sensitivity,cell_auc,holdout,0.7244651785044884,1
center,100,z_sensitivity,object_auc,all,0.8421796304418591,9
center,100,z_sensitivity,object_auc,development,0.825011142412386,6
center,100,z_sensitivity,object_auc,holdout,0.872605441997338,3
center,200,L1,capture_0.2,all,0.575,6
center,200,L1,capture_0.2,development,0.65,5
center,200,L1,capture_0.2,holdout,0.029288702928870293,1
center,200,L1,cell_auc,all,0.8118978835051377,6
center,200,L1,cell_auc,development,0.824350666049478,5
center,200,L1,cell_auc,holdout,0.3889637067772686,1
center,200,L1,object_auc,all,0.7882355910629937,8
center,200,L1,object_auc,development,0.7939598506720704,6
center,200,L1,object_auc,holdout,0.7429541414302301,2
center,200,hand_acc_neg,capture_0.2,all,0.9769874476987448,6
center,200,hand_acc_neg,capture_0.2,development,1.0,5
center,200,hand_acc_neg,capture_0.2,holdout,0.9539748953974896,1
center,200,hand_acc_neg,cell_auc,all,0.917319597021264,6
